,tweet_id,text
0,784777229632962560,.@MarthaRaddatz @andersoncooper Ask @realDonaldTrump about boasting about sexual assault &amp; #rapeculture at #Debate16 tomorrow #grabthevote
1,784762671232983040,Federal Judge Orders Hearing in Donald Trump Rape Lawsuit https://t.co/m0CicuZbKL via @law_newz
2,784586044897394688,@sddickerson @FightandDebate @HillaryClinton @Slate that's why Bill paid hundreds of thousands of dollars to settle sexual assault cases.
3,784751011063816192,What leaked emails reveal about Hillary Clinton's campaign https://t.co/In3PJqTlPy
4,784691959445282816,@DrCrane72 @realDonaldTrump he bragged about his dick in a presidential fucking debate?  How's he going to defend his machismo now?
5,784768648120406016,"I wonder how many people, after hearing Trump boasting about sexual assault, are recognizing they use/have used the same language. #Trump"
6,784618936621002752,"@tb0811 again, you are mistaken. I do not defend Clinton. and I do object to more than Trump's words: he admitted to actions in that video"
7,784773802903437312,What Leaked Emails Reveal About Hillary Clinton’s Campaign - TIME https://t.co/MSxS3IsQJW
8,784657125737758720,Trump issues defiant apology for lewd remarks -- then goes on the attack - CNN https://t.co/vMr9aItKyu
9,784624649246281730,Just saw a Trump ad about a woman using a gun to protect herself from assault. Ironic coming from a man who admits to assaulting women.
10,784769717638750208,"Admitting Sexual assault &amp; denigrating women is ""interesting"" to Trump https://t.co/nWIQaY587S"
11,784735152375156736,BC Rapist / Hillary protects Hubby from rapist lawsuits-attack victims / Bill Rapps about Hillary Eating P? /Hillar… https://t.co/aBuWh1ah3N
12,784655225730633728,"New York Times editorial: Trump bragged about ""repeated sexual assault"" https://t.co/XvEaVSHIvI via @HuffPostPol"
13,784600146134859776,"Hillary Clinton calls Bill Clinton's sexual assault victims ""Bimbo Erupt... https://t.co/0swdpzXSIF via @YouTube"
14,784768304166633472,@LBMenefee @RealRonHoward @realDonaldTrump bragging about sexual assault isn't talking dirty. And if you wanna talk about trumps shady past
15,784615237236486144,Trump releases video 'apology' for sexual assault ... but mostly attacks Hillary and Bill Clinton https://t.co/snABMesHM7
16,784772305553588224,@Patrici15767099 they should watch Hillary defend a child rapist https://t.co/l3RxlknbeG
