98	784777229632962560	48	boasting	1475940446657	. @martharaddatz @andersoncooper ask @realdonaldtrump about boasting about sexual assault &amp; #rapeculture at #debate16 tomorrow #grabthevot
84	784762671232983040	246	orders	1475936975664	federal judge orders hearing in donald trump rape lawsuit HTTPURL via @law_new
14	784586044897394688	201	paid	1475894864664	@sddickerson @fightanddebate @hillaryclinton @slate that 's why bill paid hundreds of thousands of dollars to settle sexual assault cases
76	784751011063816192	118	reveal	1475934195663	what leaked emails reveal about hillary clinton 's campaign HTTPURL
61	784691959445282816	48	bragged	1475920116660	@drcrane72 @realdonaldtrump he bragged about his dick in a presidential fucking debate ? how 's he going to defend his machismo now
89	784768648120406016	48	boasting	1475938400665	i wonder how many people , after hearing trump boasting about sexual assault , are recognizing they use have used the same language . #trum
38	784618936621002752	242	admitted	1475902706662	@tb0811 again , you are mistaken . i do not defend clinton . and i do object to more than trump 's words : he admitted to actions in that vide
95	784773802903437312	118	reveal	1475939629661	what leaked emails reveal about hillary clinton 's campaign - time HTTPURL
47	784657125737758720	35	issues apology	1475911811657	trump issues defiant apology for lewd remarks -- then goes on the attack - cnn HTTPURL
42	784624649246281730	242	admits	1475904068658	just saw a trump ad about a woman using a gun to protect herself from assault . ironic coming from a man who admits to assaulting women
90	784769717638750208	242	admitting	1475938655658	admitting sexual assault &amp; denigrating women is " interesting " to trump HTTPURL
69	784735152375156736	1503	protects from	1475930414657	bc rapist hillary protects hubby from rapist lawsuits-attack victims bill rapps about hillary eating p ? hillar HTTPURL
46	784655225730633728	48	bragged	1475911358660	new york times editorial : trump bragged about " repeated sexual assault " HTTPURL via @huffpostpo
21	784600146134859776	31	calls	1475898226661	hillary clinton calls bill clinton 's sexual assault victims " bimbo erupt ... HTTPURL via @youtub
88	784768304166633472	48	bragging	1475938318660	@lbmenefee @realronhoward @realdonaldtrump bragging about sexual assault is not talking dirty . and if you wanna talk about trumps shady pas
30	784615237236486144	1501	releases	1475901824660	trump releases video ' apology ' for sexual assault ... but mostly attacks hillary and bill clinton HTTPURL
92	784772305553588224	97	defend	1475939272665	@patrici15767099 they should watch hillary defend a child rapist HTTPURL
83	784761249372508162	238	joins	1475936636666	nbc analyst @lisabloom joins #amjoy on jill harth 's sexual assault allegations against #donaldtrump now being taken HTTPURL
75	784750302226358272	35	attempt to apologize	1475934026663	. @realdonaldtrump why is it that even in your pathetic attempt to apologize , you have to attack @hillaryclinton ? #cowar
40	784622891845443584	211	signs	1475903649661	potus signs sexual assault survivors bill of rights . same day , trump 's heard bragging about assaulting women . HTTPURL
36	784617758017347584	35	apologizing	1475902425661	trump releases tape apologizing for talking 11 years ago about attacking women ... then plugs his coming attack on a woman two days from now
54	784663383660343297	31	attack	1475913303662	@bbcworld @realdonaldtrump @bbcnews then hillary went on the attack against the victims of her husband , but now it 's horribl
0	784576649627103233	48	bragging	1475892624657	drools over a 12-year old and rapes a 13-year old ... bragging about sexual assault does not shock me when it comes to @realdonaldtrum
49	784659701044768769	31	attack	1475912425658	@nytopinion perhaps @hillaryclinton can attack those women for @realdonaldtrump like she did for her husband bill 's sexual assault victims
